Gillock's Cave or Devil's Backbone Cave
SURVEY NAME: 1
SURVEY DATE: 7 20 2000  COMMENT:Initial Survey
SURVEY TEAM:
Jon Schwer;Shane Fryer
DECLINATION: 0.00  FORMAT: DDDDLRUDLADadBT

FROM         TO           LEN     BEAR    INC     LEFT    UP      DOWN    RIGHT   AZM2    INC2    FLAGS COMMENTS

       A1LRUD           A1    0.00 -999.00 -999.00    2.50    0.00    1.00    1.00 -999.00 -999.00 #|L#
           A1           A2    2.60  191.00  -24.00    1.00    0.00    1.00    2.00   11.00   25.00
           A2           A3   19.70  179.00   -3.00    3.00    1.00    1.00    0.00  359.00    4.00
           A3           A4   25.80  164.00   -0.50    3.00    1.00    3.00    2.00  345.50    0.00
           A4           A5   18.40  173.50    2.00    3.00    1.00    4.00    0.00  352.00   -1.50
           A5           A6   13.10  210.00    3.50    2.00    1.00    5.00    2.00   32.00   -3.00
           A6           A7    3.40  250.00   -7.00    2.00    1.00    6.00    2.00   69.00    7.50
           A7           A8    4.90  217.00    1.00    0.00    1.00    6.00    2.00   37.00    0.00
           A8           A9   13.60  182.00    2.00    0.00    1.00    6.00    2.00    2.00   -3.00
           A9          A10   14.50  214.00    1.00    1.00    1.00    8.00    2.00   33.00   -1.00
          A10          A11    8.20  176.00    0.00    0.00    1.00    8.00    1.00  354.00    1.00
          A11          A12    1.60 -999.00  -90.00    0.00    2.00    7.00    1.00 -999.00 -999.00
          A12          A13   10.10  198.00   -3.00    1.00    3.00    4.00    1.00   16.00    3.00
          A13          A14   11.70  173.50    2.00    1.00    3.00    5.00    1.00  352.50   -1.00
          A14          A15    7.30  180.00    1.00    1.00    3.00    5.00    1.00  358.00   -1.50
          A15          A16    8.30  210.00    2.50    1.00    3.00    5.00    1.00   31.00   -1.50
          A16          A17    3.70  257.00   -5.00    1.00    3.00    7.00    2.00   76.00    4.00
          A17          A18    6.50  169.00   15.00    0.00    1.00    9.00    2.00  347.50  -15.00
          A18          A19    3.10  108.00  -14.00    1.00    2.00    6.00    1.00  287.00   12.00
          A19          A20    4.50   77.00   -4.00    2.00    2.00    7.00    0.00  257.00    4.00
          A20          A21    4.60 -999.00  -90.00    2.00    7.00    2.00    0.00 -999.00 -999.00
          A21          A22    3.50   61.00  -15.00    0.00    8.00    2.00    2.00  239.00   14.50
          A22          A23   13.80  155.00    6.00    0.00    8.00    3.00    2.00  333.00   -4.00
          A23          A24    8.90  212.00   -3.00    1.00    8.00    3.00    2.00   32.00    4.00
          A24          A25    8.30  131.00    2.00    0.00    8.00    3.00    3.00  310.00   -1.00
          A25          A26    9.40   83.00   -1.50    2.00    7.00    3.00    0.00  264.50    1.50
          A26          A27    5.60  180.00    4.00    0.00    8.00    3.00    2.00    0.00   -3.00
          A27          A28    6.80  158.00    0.00    2.00    7.00    3.00    0.00  338.00    0.00
          A28          A29    6.20  100.00   -6.00    1.00    8.00    3.00    2.00  279.00   -5.00
          A29          A30    7.30   75.00    1.50    0.00    6.00    3.00    4.00  254.00   -3.00
          A30          A31   15.50  158.00    0.00    1.00    8.00    3.00    2.00  337.00    1.00
          A31          A32    7.70  126.00   -6.00    2.00    8.00    3.00    0.00  306.00    6.50
          A32          A33    9.60  202.00   11.00    2.00    9.00    5.00    0.00   21.00   -9.50
